Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
3,"I Warman, A Zahni","Rekayasa web untuk pemesanan handphone berbasis Jquery pada Permata Cell",2013,"Jurnal Momentum","ejournal.itp.ac.id","http://ejournal.itp.ac.id/index.php/momentum/article/view/98","https://scholar.google.com/scholar?cites=10254680989843536147&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-15","","","","",,,,,3,0.50,2,2,6
6,"CP Wijaya, KI Satoto, RR Isnanto","Perancangan Sistem Informasi Pemesanan Tiket Travel Berbasis Web",2013,"Transmisi","ejournal.undip.ac.id","https://ejournal.undip.ac.id/index.php/transmisi/article/view/5048","https://scholar.google.com/scholar?cites=10192935083655924277&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-15","","","","",,,,,6,1.00,2,3,6
2,"U Ependi","Pengembangan Sistem Informasi Online Menggunakan Metode Web Engineering",2013,"JURNAL MATRIK","jurnal.binadarma.ac.id","http://jurnal.binadarma.ac.id/index.php/jurnalmatrik/article/view/267","https://scholar.google.com/scholar?cites=12904793571427341312&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-15","","","","",,,,,2,0.33,2,1,6
2,"D Kartikasari","Sistem Informasi Administrasi Penilaian Prestasi Kerja PNS Berdasarkan Sasaran Kerja Pegawai (SKP) Berbasis Web Pada Kantor BKD Provinsi Jawa Tengah",2013,"Universitas Dian Nuswantoro. Semarang","eprints.dinus.ac.id","http://eprints.dinus.ac.id/12792/1/jurnal_12973.pdf","https://scholar.google.com/scholar?cites=14192140821789195008&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-07-15","PDF","","","",,,,,2,0.33,2,1,6
10,"H Paryani, BE Purnama","Pembangunan Website Lowongan Kerja Kota Surakarta",2013,"IJNS-Indonesian Journal on Networking and …","ijns.org","http://ijns.org/journal/index.php/ijns/article/view/228","https://scholar.google.com/scholar?cites=2118498701055744885&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-07-15","HTML","","","",,,,,10,1.67,5,2,6
1,"A Firdaus","Aplikasi Simulator Psikotes Berbasis Web Studi Kasus Lembaga Psikologi Bina Darma",2013,"","eprints.binadarma.ac.id","http://eprints.binadarma.ac.id/450/1/skripsi%20APLIKASI%20SIMULATOR%20PSIKOTES%20BERBASIS%20WEB%20STUDI%20KASUS%20LEMBAGA%20PSIKOLOGI%20BINA%20DARMA.docx","https://scholar.google.com/scholar?cites=6200540615846250642&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-07-15","DOC","","","",,,,,1,0.17,1,1,6
1,"ASH Sumarsono, AS Husin","Sistem Terintegrasi Portal Web Perguruan Tinggi Agama Islam Negeri Menggunakan Metode Grabbing",2013,"Program Studi Teknik …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/d9ea/2890b21d2a19ae4f54e5da647c4c04bc2242.pdf","https://scholar.google.com/scholar?cites=13176597011369342978&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-07-15","PDF","","","",,,,,1,0.17,1,2,6
1,"M Irsyad, C Slamet, A Susanto","Perancangan Website Sekolah Pada Subsystem User Interface (Study Kasus Di Pesantren Persis 99 Rancabango)",2013,"Jurnal Algoritma","jurnal.sttgarut.ac.id","http://jurnal.sttgarut.ac.id/index.php/algoritma/article/view/50","https://scholar.google.com/scholar?cites=12947518684666617730&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-07-15","","","","",,,,,1,0.17,0,3,6
1,"H Nasir, C Widya, S Siti","APLIKASI REGISTRASI PASANG BARU PADA PDAM TIRTA MUSI PALEMBANG",2013,"Jural Mahasiswa MI D3","eprints.binadarma.ac.id","http://eprints.binadarma.ac.id/5/1/Jurnal_Olif.doc","https://scholar.google.com/scholar?cites=7848968107932932135&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-07-15","DOC","","","",,,,,1,0.17,0,3,6
3,"I Fahanani","Sistem Informasi Sekolah Di SMP Negeri 2 Sidoharjo Berbasis Desktop",2013,"","eprints.ums.ac.id","http://eprints.ums.ac.id/id/eprint/24148","https://scholar.google.com/scholar?cites=2183121830436622381&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-07-15","","","","",,,,,3,0.50,3,1,6
