Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
30,"F Adikara","Implementasi tata kelola teknologi informasi perguruan tinggi berdasarkan COBIT 5 pada laboratorium rekayasa perangkat lunak universitas esa unggul",2013,"SESINDO 2013","is.its.ac.id","http://is.its.ac.id/pubs/oajis/index.php/home/detail/441/Implementasi-Tata-Kelola-Teknologi-Informasi-Perguruan-Tinggi-Berdasarkan-COBIT-5-pada-Laboratorium-Rekayasa-Perangkat-Lunak-Universitas-Esa-Unggul","https://scholar.google.com/scholar?cites=2784979871284197309&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-11-11","","","","",,,,,30,5.00,30,1,6
391,"M Shalahuddin, AS Rosa","Rekayasa perangkat lunak terstruktur dan berorientasi objek",2013,"Bandung: Informatika","","","https://scholar.google.com/scholar?cites=404969694134986078&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-11-11","CITATION","","","",,,,,391,65.17,196,2,6
198,"RA Sukamto, M Shalahuddin","Rekayasa Perangkat Lunak",2013,"Bandung: Informatika","","","https://scholar.google.com/scholar?cites=18357852871491021924&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-11","CITATION","","","",,,,,198,33.00,99,2,6
5,"E Yulianti, T Rusyiatno","Rekayasa Perangkat Lunak Penjualan Pulsa Electric Berbasis SMS menggunakan Visual Basic 6.0",2013,"Jurnal TeknoIf","ejournal.itp.ac.id","http://ejournal.itp.ac.id/index.php/tinformatika/article/download/76/73","https://scholar.google.com/scholar?cites=371725288388845463&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-11-11","PDF","","","",,,,,5,0.83,3,2,6
4,"A Kurniawan","Rekayasa Perangkat Lunak Aplikasi Penjualan Pada Toko Story Time Factory Outlet Menggunakan Pemrograman Java",2013,"Rekayasa Perangkat Lunak Aplikasi Penjualan …","repo.unand.ac.id","http://repo.unand.ac.id/316/1/jurnal%2520andry.pdf","https://scholar.google.com/scholar?cites=7539228022115828129&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-11-11","PDF","","","",,,,,4,0.67,4,1,6
7,"MBDDM Kania, A Sabariah","Analisis Kualitas Perangkat Lunak Terhadap Sistem Informasi UNIKOM",2013,"Majalah Ilmiah UNIKOM","jurnal.unikom.ac.id","https://jurnal.unikom.ac.id/_s/data/jurnal/volume-11-2/07-miu-11-2-adam-cs.pdf/pdf/07-miu-11-2-adam-cs.pdf","https://scholar.google.com/scholar?cites=656747576118066798&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-11-11","PDF","","","",,,,,7,1.17,4,2,6
17,"M Shalahuddin, RASRPL Terstruktur, B Objek","Bandung",2013,"Informatika","","","https://scholar.google.com/scholar?cites=4717231661270741714&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-11-11","CITATION","","","",,,,,17,2.83,6,3,6
2,"AD Suprianti","… KOLB BERBANTU MULTIMEDIA INTERAKTIF UNTUK MENINGKATKAN KEMAMPUAN APLIKASI SISWA SMK PADA BIDANG REKAYASA PERANGKAT LUNAK  …",2013,"","repository.upi.edu","http://repository.upi.edu/id/eprint/3435","https://scholar.google.com/scholar?cites=15879018796245143680&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-11-11","","","","",,,,,2,0.33,2,1,6
27,"AS Rossa, M Shalahuddin","Rekayasa Perangkat Lunak",2013,"Bandung: Penerbit Informatika","","","https://scholar.google.com/scholar?cites=12677616737015643685&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-11-11","CITATION","","","",,,,,27,4.50,14,2,6
7,"AS Rosa, SMRPL Terstruktur, B Objek","Informatika",2013,"","Bandung","","https://scholar.google.com/scholar?cites=14527656776890046920&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-11-11","CITATION","","","",,,,,7,1.17,2,3,6
1,"DS Tiyas","REKAYASA PERANGKAT LUNAK PENDUKUNG KEPUTUSAN PENENTUAN SUPPLIER DENGAN MENGGUNAKAN METODE PROFILE MATCHING PADA …",,"Universitas Dian Nuswantoro","mahasiswa.dinus.ac.id","http://mahasiswa.dinus.ac.id/docs/skripsi/jurnal/12759.pdf","https://scholar.google.com/scholar?cites=3884650153319902408&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-11-11","PDF","","","",,,,,1,0.00,1,1,
4,"RPL Terstruktur, B Objek","Bandung",2013,"Informatika","","","https://scholar.google.com/scholar?cites=8370670123304666687&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-11-11","CITATION","","","",,,,,4,0.67,2,2,6
1,"I Ardiyansah","Kompetensi siswa kelas XII rekayasa perangkat lunak (RPL) SMK Negeri 5 Kendal memasuki dunia kerja dalam bidang web programming",2013,"","lib.unnes.ac.id","http://lib.unnes.ac.id/18884/","https://scholar.google.com/scholar?cites=14077957319377368585&as_sdt=2005&sciodt=0,5&hl=en",13,"2019-11-11","","","","",,,,,1,0.17,1,1,6
2,"D Palupi","… kohesi dan koherensi dalam karangan deskriptif siswa kelas x smk jurusan teknik otomotif kendaraan ringan (tokr) dan rekayasa perangkat lunak (rpl) berdasar pada …",2013,"Seloka: Jurnal Pendidikan Bahasa dan Sastra …","journal.unnes.ac.id","http://journal.unnes.ac.id/sju/index.php/seloka/article/view/1317","https://scholar.google.com/scholar?cites=12834316387440373016&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-11-11","","","","",,,,,2,0.33,2,1,6
4,"KAF Amiton, KMS Haryana…","Pengembangan Aplikasi Belajar Menulis Alfabet Dan Angka Untuk Perangkat Mobile Berbasis Android Dan Ios Menggunakan Framework Cocos2",2013,"Jurnal Computech & …","jurnal.stmik-mi.ac.id","http://jurnal.stmik-mi.ac.id/index.php/jcb/article/view/94","https://scholar.google.com/scholar?cites=2748059398700727708&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-11-11","","","","",,,,,4,0.67,1,3,6
8,"Y Yuniati","Pengembangan Perangkat Lunak Pembelajaran Bahasa Isyarat Bagi Penderita Tunarungu Wicara",2013,"Jurnal Generic","journal.portalgaruda.org","http://journal.portalgaruda.org/index.php/generic/article/view/127","https://scholar.google.com/scholar?cites=635352141059278080&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-11-11","","","","",,,,,8,1.33,8,1,6
4,"RASM Salahuddin, RPL Terstruktur, B Objeck","informatika, Ed",2013,"","Bandung","","https://scholar.google.com/scholar?cites=491030374213778141&as_sdt=2005&sciodt=0,5&hl=en",17,"2019-11-11","CITATION","","","",,,,,4,0.67,1,3,6
3,"RA Sukamto, MSRP Lunak","Bandung",2013,"Informatika","","","https://scholar.google.com/scholar?cites=14516948325406896070&as_sdt=2005&sciodt=0,5&hl=en",18,"2019-11-11","CITATION","","","",,,,,3,0.50,2,2,6
3,"W Pradani","Kajian Metode Perhitungan Metrik Function-Point dan Penerapannya pada Dua Perangkat Lunak yang Dipilih",2013,"Jurnal Al-Azhar Indonesia Seri Sains dan Teknologi","neliti.com","https://www.neliti.com/publications/290802/kajian-metode-perhitungan-metrik-function-point-dan-penerapannya-pada-dua-perang","https://scholar.google.com/scholar?cites=7577890171225442278&as_sdt=2005&sciodt=0,5&hl=en",19,"2019-11-11","","","","",,,,,3,0.50,3,1,6
8,"I Binanto","Perbandingan Metode Pengembangan Perangkat Lunak Multimedia",2013,"Teknik Informatika, Fakultas Sains dan Teknologi …","academia.edu","http://www.academia.edu/download/41208733/ke_RITEKTRA_format.pdf20160115-19908-17tzuvi.pdf","https://scholar.google.com/scholar?cites=15733350351631891188&as_sdt=2005&sciodt=0,5&hl=en",20,"2019-11-11","PDF","","","",,,,,8,1.33,8,1,6
2,"D Arianti, RP Lunak","Model Incremental",2013,"Denpasar: STIKOM Bali","","","https://scholar.google.com/scholar?cites=12730285065060537398&as_sdt=2005&sciodt=0,5&hl=en",21,"2019-11-11","CITATION","","","",,,,,2,0.33,1,2,6
