Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
18,"H Nasution","Implementasi Logika Fuzzy pada Sistem Kecerdasan Buatan",2012,"ELKHA","jurnal.untan.ac.id","http://jurnal.untan.ac.id/index.php/Elkha/article/view/512","https://scholar.google.com/scholar?cites=16431178096707041546&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-09-28","","","","",,,,,18,2.57,18,1,7
50,"I Afrianto","Perbandingan Metode Jaringan Syaraf Tiruan Backpropagation Dan Learning Vector Quantization Pada Pengenalan Wajah",2012,"KOMPUTA: Jurnal Komputer dan Informatika","komputa.if.unikom.ac.id","http://komputa.if.unikom.ac.id/_s/data/jurnal/volume-01/komputa-1-1-perbandingan-metode-jaringan-irawan-7.pdf/pdf/komputa-1-1-perbandingan-metode-jaringan-irawan-7.pdf","https://scholar.google.com/scholar?cites=13982084207846164582&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-09-28","PDF","","","",,,,,50,7.14,50,1,7
18,"T Harihayati, L Kurnia","Mendiagnosa Penyakit Umum yang Sering Diderita Balita Berbasis Web di Dinas Kesehatan Kota Bandung",2012,"Komputa: Jurnal Ilmiah Komputer …","komputa.if.unikom.ac.id","http://komputa.if.unikom.ac.id/jurnal/sistem-pakar-mendiagnosa.a/komputa-1-1-sistem-pakar-mendiagnosa-tati-10.pdf","https://scholar.google.com/scholar?cites=18296390688065892973&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-09-28","PDF","","","",,,,,18,2.57,9,2,7
25,"DM Atia, FH Fahmy, NM Ahmed…","A new control and design of PEM fuel cell system powered diffused air aeration system",2012,"… Indonesian Journal of …","researchgate.net","https://www.researchgate.net/profile/Doaa_Atia2/publication/256457392_A_New_Control_and_Design_of_PEM_Fuel_Cell_Powered_Air_Diffused_Aeration_System/links/5486dea30cf2ef34478cc64f/A-New-Control-and-Design-of-PEM-Fuel-Cell-Powered-Air-Diffused-Aeration-System.pdf","https://scholar.google.com/scholar?cites=17266525513122110669&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-09-28","PDF","","","",,,,,25,3.57,6,4,7
9,"D Utari","Analisis Dan Implementasi Algoritma Backtracking Pada Permainan Hangman",2012,"","","","https://scholar.google.com/scholar?cites=803013191067107229&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-09-28","CITATION","","","",,,,,9,1.29,9,1,7
21,"BDM Achmad, F Slamat, FTI ITATS","Klasifikasi data karyawan untuk menentukan jadwal kerja menggunakan metode decision tree",2012,"Jurnal IPTEK Vol","jurnal.itats.ac.id","http://jurnal.itats.ac.id/wp-content/uploads/2013/06/3.-BUDANIS-FINAL-hal-17-23.pdf","https://scholar.google.com/scholar?cites=8223383543817718943&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-09-28","PDF","","","",,,,,21,3.00,7,3,7
8,"MS Handayani, D Arisandi…","Rancangan Permainan Othello Berbasis Android Menggunakan Algoritma Depth-First Search",2012,"Dunia Teknologi Informasi …","jurnal.usu.ac.id","https://jurnal.usu.ac.id/index.php/duniait/article/view/411","https://scholar.google.com/scholar?cites=7815804627615896055&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-09-28","","","","",,,,,8,1.14,3,3,7
12,"S Andayani, D Mardapi","Performance Assessment Dalam Perspektif Multiple Criteria Decision Making",2012,"Prosiding Seminar Nasional Penelitian …","seminar.uny.ac.id","http://seminar.uny.ac.id/semnasmipa/sites/seminar.uny.ac.id.semnasmipa/files/paper/Pend.%20Matematika/Sri%20Andayani-makalah%20MCDM%20semnas%202%20Juni%20Sri%20Andayani%20PMAT%20UNY.docx","https://scholar.google.com/scholar?cites=9153934706334258809&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-09-28","DOC","","","",,,,,12,1.71,6,2,7
9,"R Setiawan, DDS Fatimah, C Slamet","Perancangan Sistem Pakar untuk Pembagian Waris Menurut Hukum Islam (Fara'id)",2012,"Jurnal Algoritma","jurnal.sttgarut.ac.id","http://www.jurnal.sttgarut.ac.id/index.php/algoritma/article/view/2","https://scholar.google.com/scholar?cites=6907258693116279951&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-09-28","","","","",,,,,9,1.29,3,3,7
9,"NI Widiastuti","Model Perilaku Berjalan Agen-Agen Menggunakan Fuzzy Logic",2012,"Jurnal Komputer dan Informatika (KOMPUTA)","ojs.unikom.ac.id","https://ojs.unikom.ac.id/index.php/komputa/article/view/46","https://scholar.google.com/scholar?cites=7894065436684584889&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-09-28","","","","",,,,,9,1.29,9,1,7
