Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
33,"S Riyadi, RA Azra, R Syahputra, TK Hariadi","Deteksi Retak Permukaan Jalan Raya Berbasis Pengolahan Citra dengan Menggunakan Kombinasi Teknik Thresholding, Median Filter dan Morphological Closing",2014,"","publikasiilmiah.ums.ac.id","https://publikasiilmiah.ums.ac.id/xmlui/handle/11617/5062","https://scholar.google.com/scholar?cites=6728704680137288756&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-07-14","","","","",,,,,33,6.60,8,4,5
9,"I Yatini","Aplikasi pengolahan citra berbasis web menggunakan javascript dan jquery",2014,"Jurnal Teknik","jurnalteknik.janabadra.ac.id","http://jurnalteknik.janabadra.ac.id/wp-content/uploads/2015/01/3-IndraYatini-April-2014.pdf","https://scholar.google.com/scholar?cites=12577212269899031838&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-07-14","PDF","","","",,,,,9,1.80,9,1,5
25,"AD Purwanto, W Asriningrum, G Winarso…","Analisis sebaran dan kerapatan mangrove menggunakan citra landsat 8 di Segara Anakan, Cilacap",2014,"Proceeding of Seminar …","academia.edu","http://www.academia.edu/download/36819594/Analisis_sebaran_mangrove_dengan_citra_landsat_8.pdf","https://scholar.google.com/scholar?cites=8196617442942209314&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-07-14","PDF","","","",,,,,25,5.00,6,4,5
15,"R Listia, A Harjoko","Klasifikasi Massa pada Citra Mammogram Berdasarkan Gray Level Cooccurence Matrix (GLCM)",2014,"IJCCS (Indonesian Journal of Computing and …","journal.ugm.ac.id","https://journal.ugm.ac.id/ijccs/article/view/3496","https://scholar.google.com/scholar?cites=7404289504769087109&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-07-14","","","","",,,,,15,3.00,8,2,5
10,"YP Wiharja, A Harjoko","Pemrosesan Citra Digital untuk Klasifikasi Mutu Buah Pisang Menggunakan Jaringan Saraf Tiruan",2014,"Indonesian Journal of Electronics and …","researchgate.net","https://www.researchgate.net/profile/Agus_Harjoko/publication/274084841_Pemrosesan_Citra_Digital_untuk_Klasifikasi_Mutu_Buah_Pisang_Menggunakan_Jaringan_Saraf_Tiruan/links/551625a80cf2d70ee2738e19.pdf","https://scholar.google.com/scholar?cites=1876079580968381812&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-07-14","PDF","","","",,,,,10,2.00,5,2,5
9,"C Darujati, S Anam, HD Cahyono…","Magnifikasi Perbaikan Citra Dijital Multi Resolusi dengan Metode Gabungan Tapis Lolos Bawah dan Interpolasi Bilinear",2014,"Jurnal ilmiah …","kompetensi.trunojoyo.ac.id","http://kompetensi.trunojoyo.ac.id/jim/article/viewFile/160/157","https://scholar.google.com/scholar?cites=7215692641789436300&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-07-14","PDF","","","",,,,,9,1.80,2,4,5
7,"G Romadhon, M Murinto","Aplikasi Pengenalan Citra Rambu Lalu Lintas Berbentuk Lingkaran Menggunakan Metode Jarak City-block",2014,"Jurnal Sarjana Teknik Informatika","neliti.com","https://www.neliti.com/publications/211507/aplikasi-pengenalan-citra-rambu-lalu-lintas-berbentuk-lingkaran-menggunakan-meto","https://scholar.google.com/scholar?cites=5058347639121890316&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-07-14","","","","",,,,,7,1.40,4,2,5
5,"SND Sari, A Fadlil","Sistem identifikasi citra jahe (zingiber officinale) menggunakan metode jarak czekanowski",2014,"jurnal sarjana teknik informatika","neliti.com","https://www.neliti.com/publications/211116/sistem-identifikasi-citra-jahe-zingiber-officinale-menggunakan-metode-jarak-czek","https://scholar.google.com/scholar?cites=1091609605353500062&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-07-14","","","","",,,,,5,1.00,3,2,5
5,"RA Sholihin, BH Purwoto","Perbaikan Citra Dengan Menggunakan Median Filter dan Metode Histogram Equalization",2014,"","publikasiilmiah.ums.ac.id","https://publikasiilmiah.ums.ac.id/xmlui/handle/11617/4925","https://scholar.google.com/scholar?cites=6144122208028808135&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-07-14","","","","",,,,,5,1.00,3,2,5
5,"RE Wibowo, RR Isnanto, AA Zahra","Perbandingan Kinerja Operator Sobel dan Laplacian of Gaussian (LoG) TerhadapAcuan Canny untuk Mendeteksi Tepi Citra",2014,"TRANSIENT","ejournal3.undip.ac.id","https://ejournal3.undip.ac.id/index.php/transient/article/view/5111","https://scholar.google.com/scholar?cites=8220541378827836364&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-07-14","","","","",,,,,5,1.00,2,3,5
3,"D Apriliyanto, B Sasmito, AP Wijaya","Pengolahan Citra Satelit Landsat Multi Temporal Dengan Metode Bilko Dan Agso Untuk Mengetahui Dinamika Morfometri Waduk Gajah Mungkur",2014,"Jurnal Geodesi Undip","ejournal3.undip.ac.id","https://ejournal3.undip.ac.id/index.php/geodesi/article/view/5837","https://scholar.google.com/scholar?cites=14120573637524694238&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-07-14","HTML","","","",,,,,3,0.60,1,3,5
3,"A Johar, D Andreswari, G Triyana","APLIKASI PENGOLAHAN CITRA DIGITAL UNTUK PENDETEKSI JAWABAN PADA LEMBAR JAWABAN KOMPUTER MENGGUNAKAN ALGORITMA SOBEL (STUDI …",2014,"Jurnal Teknik Informatika","journal.uinjkt.ac.id","http://journal.uinjkt.ac.id/index.php/ti/article/view/1949","https://scholar.google.com/scholar?cites=8462352958849916210&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-07-14","","","","",,,,,3,0.60,1,3,5
3,"W Sipayung","Perancangan Citra Watermarking pada Citra Digital Menggunakan Metode Discrete Cosine Transform (DCT)",2014,"Pelita Informatika Budi Darma","academia.edu","http://www.academia.edu/download/37434090/22._wahidun.pdf","https://scholar.google.com/scholar?cites=4861366401632399944&as_sdt=2005&sciodt=0,5&hl=en",13,"2019-07-14","PDF","","","",,,,,3,0.60,3,1,5
