"5,""D Irawan, R Roestam"",""Simulasi Model Jaringan Mobile Ad-Hoc (Manet) Dengan Ns-3"",2011,""… Pengkaj. dan Penerapan Teknol. Jakarta. J …"",""researchgate.net"",""https://www.researchgate.net/profile/Dedy_Irawan6/publication/309799969_SIMULASI_MODEL_JARINGAN_MOBILE_AD-HOC_MANET_DENGAN_NS-3/links/5823f2b608aeb45b58897a46.pdf"",""https://scholar.google.com/scholar?cites=5760930080390602581&as_sdt=2005&sciodt=0,5&hl=en"",14,""2019-05-17"",""PDF"","""","""","""",,,,,5,0.63,3,2,8		"
"3,""IMW Wirawan"",""Implementasi Load Balance Pada Jaringan Multihoming Menggunakan Router dengan Metode Round Robin"",2011,""Jurnal Ilmu Komputer"",""ojs.unud.ac.id"",""https://ojs.unud.ac.id/index.php/jik/article/view/6490"",""https://scholar.google.com/scholar?cites=6272164382000975574&as_sdt=2005&sciodt=0,5&hl=en"",15,""2019-05-17"","""","""","""","""",,,,,3,0.38,3,1,8		"
"2,""W Sugeng, K Mustofa"",""Real-Time System Pada Jaringan Komputer"",2011,""Jurnal Informatika"",""repository.ugm.ac.id"",""https://repository.ugm.ac.id/33032/"",""https://scholar.google.com/scholar?cites=4498036459845983330&as_sdt=2005&sciodt=0,5&hl=en"",16,""2019-05-17"","""","""","""","""",,,,,2,0.25,1,2,8		"
"2,""I Sembiring, I Widiasari, SD Prasetyo"",""Analisa dan Implementasi Sistem Keamanan Jaringan Komputer dengan Iptables sebagai Firewall Menggunakan Metode Port Knocking"",2011,""Jurnal Informatika"",""labti.ukdw.ac.id"",""https://labti.ukdw.ac.id/ojs/index.php/informatika/article/view/74"",""https://scholar.google.com/scholar?cites=12658698462514576737&as_sdt=2005&sciodt=0,5&hl=en"",17,""2019-05-17"","""","""","""","""",,,,,2,0.25,1,3,8		"
"2,""RP Tenggario, J Lukas"",""Manajemen Jaringan Wireless Menggunakan Server Radius"",2011,""Jakarta …"",""research-dashboard.binus.ac.id"",""http://research-dashboard.binus.ac.id/uploads/paper/document/publication/Journal/Teknik%20Komputer/Vol%2019%20No%201%20Februari%202011/08_Raymond%20Powers%20Tenggario.pdf"",""https://scholar.google.com/scholar?cites=10859943462234234760&as_sdt=2005&sciodt=0,5&hl=en"",18,""2019-05-17"",""PDF"","""","""","""",,,,,2,0.25,1,2,8		"
"5,""SN Arif"",""Implementasi Rule-Based Expert Systems Dalam Mendeteksi Kerusakan Sistem Jaringan Komputer Dengan Metode Backward Chaining"",2011,""Jurnal SAINTIKOM"","""","""",""https://scholar.google.com/scholar?cites=16611387089990939798&as_sdt=2005&sciodt=0,5&hl=en"",19,""2019-05-17"",""CITATION"","""","""","""",,,,,5,0.63,5,1,8		"
"5,""Y Prihastomo"",""Komunikasi Data & Jaringan Komputer Network Development Life Cycle"",2011,""Universitas Budi Luhur. Jakarta"","""","""",""https://scholar.google.com/scholar?cites=13944030459349016893&as_sdt=2005&sciodt=0,5&hl=en"",20,""2019-05-17"",""CITATION"","""","""","""",,,,,5,0.63,5,1,8		"
"8,""FA Sutanto, H Yulianton, JA Razaq"",""Rancang Bangun VLAN untuk Segmentasi Jaringan pada Cyber Campus Laboratory Universitas Stikubank"",2011,""Dinamik"",""unisbank.ac.id"",""https://www.unisbank.ac.id/ojs/index.php/fti1/article/view/355"",""https://scholar.google.com/scholar?cites=10975814011137341753&as_sdt=2005&sciodt=0,5&hl=en"",21,""2019-05-17"","""","""","""","""",,,,,8,1.00,3,3,8		"
"9,""J Triyono"",""Konsep Membangun Internet Gratis untuk Masyarakat dengan Memanfaatkan Bandwidth Tidur Korporasi"",2011,""Jurnal Teknologi"",""ejournal.akprind.ac.id"",""https://ejournal.akprind.ac.id/index.php/jurtek/article/view/904"",""https://scholar.google.com/scholar?cites=261177381800055546&as_sdt=2005&sciodt=0,5&hl=en"",22,""2019-05-17"","""","""","""","""",,,,,9,1.13,9,1,8		"
"19,""AD Utami, BE Purnama"",""Pemanfaatan jejaring sosial (Facebook) sebagai media bisnis online (Studi kasus di batik Solo 85)"",2011,""Seruni-Seminar Riset Unggulan Nasional …"",""ejurnal.net"",""http://ejurnal.net/portal/index.php/seruni/article/view/1040"",""https://scholar.google.com/scholar?cites=17420712660151249400&as_sdt=2005&sciodt=0,5&hl=en"",23,""2019-05-17"","""","""","""","""",,,,,19,2.38,10,2,8		"
"4,""BE Purnama, P Utomo"",""Pengembangan Jaringan Komputer berdasarkan RIP dan OSPF"",2011,""Jurnal. Universitas Surakarta"","""","""",""https://scholar.google.com/scholar?cites=13921929756894902257&as_sdt=2005&sciodt=0,5&hl=en"",24,""2019-05-17"",""CITATION"","""","""","""",,,,,4,0.50,2,2,8		"
"4,""L Putri"",""Implementasi intrusion detection system (IDS) menggunakan snort pada jaringan wireless (studi kasus: SMK Triguna Ciputat)"",2011,"""",""repository.uinjkt.ac.id"",""http://repository.uinjkt.ac.id/dspace/handle/123456789/5479"",""https://scholar.google.com/scholar?cites=3438874539465974699&as_sdt=2005&sciodt=0,5&hl=en"",25,""2019-05-17"","""","""","""","""",,,,,4,0.50,4,1,8		"
