Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
525,"AS Rosa, M Shalahuddin","Modul Pembelajaran Rekayasa Perangkat Lunak (Terstruktur dan Berorientasi Objek)",2011,"Bandung: Modula","","","https://scholar.google.com/scholar?cites=6522632018462997190&as_sdt=2005&sciodt=0,5&hl=en",1,"2019-11-11","CITATION","","","",,,,,525,65.63,263,2,8
288,"M Shalahuddin","Modul Pembelajaran Rekayasa Perangkat Lunak (Terstruktur dan Berorientasi Objek)",2011,"Bandung: Modula","","","https://scholar.google.com/scholar?cites=355099619768025053&as_sdt=2005&sciodt=0,5&hl=en",2,"2019-11-11","CITATION","","","",,,,,288,36.00,288,1,8
247,"S Rizky","Konsep Dasar Rekayasa Perangkat Lunak",2011,"Jakarta: Prestasi Pustaka","","","https://scholar.google.com/scholar?cites=11979460526371385397&as_sdt=2005&sciodt=0,5&hl=en",3,"2019-11-11","CITATION","","","",,,,,247,30.88,247,1,8
4,"H Listiyono, T Khristianto","Rekayasa Perangkat Lunak Sistem Pendukung Keputusan Pemberian Kredit (Studi Kasus pada BPR Argo Dana Semarang)",2011,"Dinamik","unisbank.ac.id","https://www.unisbank.ac.id/ojs/index.php/fti1/article/view/353","https://scholar.google.com/scholar?cites=1761524499276762078&as_sdt=2005&sciodt=0,5&hl=en",4,"2019-11-11","","","","",,,,,4,0.50,2,2,8
2,"Y Wahyudi","Rekayasa Perangkat Lunak Komersial Akuntansi Dengan Analisis Rasio Untuk Usaha Jasa",2011,"Speed-Sentra Penelitian Engineering dan Edukasi","ijns.org","http://ijns.org/journal/index.php/speed/article/view/824","https://scholar.google.com/scholar?cites=7863928477354607276&as_sdt=2005&sciodt=0,5&hl=en",5,"2019-11-11","","","","",,,,,2,0.25,2,1,8
38,"M Shalahuddin, AS Rosa","Modul Pembelajaran Rekayasa Perangkat Lunak",2011,"Bandung: Modula","","","https://scholar.google.com/scholar?cites=3848903431902493668&as_sdt=2005&sciodt=0,5&hl=en",6,"2019-11-11","CITATION","","","",,,,,38,4.75,19,2,8
27,"R Soetam","Konsep Dasar Rekayasa Perangkat Lunak",2011,"Penerbit Prestasi Pustaka, Jakarta","","","https://scholar.google.com/scholar?cites=17051044728595536366&as_sdt=2005&sciodt=0,5&hl=en",7,"2019-11-11","CITATION","","","",,,,,27,3.38,27,1,8
6,"EW Hidayat","Penerapan Pola Hierachical Model-View-Controller pada Rekayasa Sistem Berbasis Web Framework",2011,"Jurnal Teknologi Technoscientia","ejournal.akprind.ac.id","https://ejournal.akprind.ac.id/index.php/technoscientia/article/view/467","https://scholar.google.com/scholar?cites=13978134713524495815&as_sdt=2005&sciodt=0,5&hl=en",8,"2019-11-11","","","","",,,,,6,0.75,6,1,8
10,"AS Rosa, M Shalahuddin","Modul Pembelajaran Rekayasa Perangkat Lunak (Terstruktur dan Berorientasi Objek) Bandung: Modula",2011,"","","","https://scholar.google.com/scholar?cites=16887077965684496941&as_sdt=2005&sciodt=0,5&hl=en",9,"2019-11-11","CITATION","","","",,,,,10,1.25,5,2,8
7,"AS Rosa, M Shalahudin","Rekayasa Perangkat Lunak dan Berorientasi Objek",2011,"informatika, Bandung","","","https://scholar.google.com/scholar?cites=7776194927428015482&as_sdt=2005&sciodt=0,5&hl=en",10,"2019-11-11","CITATION","","","",,,,,7,0.88,4,2,8
26,"RA Wibowo","Sistem Informasi Persediaan Keluar Masuk Barang Pada Inside Distro Jakarta",2011,"Speed-Sentra Penelitian Engineering dan Edukasi","ijns.org","http://ijns.org/journal/index.php/speed/article/view/829","https://scholar.google.com/scholar?cites=9964120440491520097&as_sdt=2005&sciodt=0,5&hl=en",11,"2019-11-11","","","","",,,,,26,3.25,26,1,8
3,"AR Mulyarto","Rekayasa Perangkat Lunak Buku Teks Sekolah Menengah Kejuruan",2011,"","Jakarta: Direktorat Pembinaan …","","https://scholar.google.com/scholar?cites=9186079909093971279&as_sdt=2005&sciodt=0,5&hl=en",12,"2019-11-11","CITATION","","","",,,,,3,0.38,3,1,8
0,"LP Dewi","STUDI TENTANG KUALITAS PEMBELAJARAN MATA DIKLAT PRODUKTIF KOMPETENSI KEAHLIAN REKAYASA PERANGKAT LUNAK DI SEKOLAH MENENGAH …",2011,"SKRIPSI Jurusan Teknik Elektro-Fakultas Teknik …","karya-ilmiah.um.ac.id","http://karya-ilmiah.um.ac.id/index.php/TE/article/view/14487","",13,"2019-11-11","","","","",,,,,0,0.00,0,1,8
0,"R Flodia","Ujian Online Rekayasa Perangkat Lunak (RPL) Berbasis Web",2011,"","digilib.uns.ac.id","https://digilib.uns.ac.id/dokumen/detail/19853/Ujian-Online-Rekayasa-Perangkat-Lunak-RPL-Berbasis-Web","",14,"2019-11-11","","","","",,,,,0,0.00,0,1,8
0,"M Arafah","Rekayasa Perangkat Lunak Monitoring Dan Evaluasi Rencana Strategis Universitas Hasanuddin 2011/2015",2011,"Jurnal Inspiration","jurnal.akba.ac.id","https://jurnal.akba.ac.id/index.php/inspiration/article/view/6","",15,"2019-11-11","","","","",,,,,0,0.00,0,1,8
0,"Y Yuniarthe","MODEL I-CASE UNTUK PENGEMBANGAN REKAYASA PERANGKAT LUNAK PERPUSTAKAAN DIGITAL BERBASIS OPEN SOURCE",2011,"Semantik","publikasi.dinus.ac.id","http://publikasi.dinus.ac.id/index.php/semantik/article/view/108","",16,"2019-11-11","","","","",,,,,0,0.00,0,1,8
0,"MA AKBAR","REKAYASA PERANGKAT LUNAK SISTEM MANAJEMEN TUGAS AKHIR BERBASIS FRAMEWORKS STRUTS",2011,"","eprints.umm.ac.id","http://eprints.umm.ac.id/18510/","",17,"2019-11-11","","","","",,,,,0,0.00,0,1,8
0,"DT Absari","Restrukturisasi dan Pengembangan Aktivitas Belajar Mengajar Pada Mata Kuliah Rekayasa Perangkat Lunak",2011,"","repository.ubaya.ac.id","http://repository.ubaya.ac.id/3077/","",18,"2019-11-11","","","","",,,,,0,0.00,0,1,8
