Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age	
"6,""A Nugroho"",""Rekayasa Perangkat Lunak dengan Menggunakan UML dan Java"",2010,""Jakarta. Andi Offset"","""","""",""https://scholar.google.com/scholar?cites=3765319202298187630&as_sdt=2005&sciodt=0,5&hl=en"",15,""2019-11-11"",""CITATION"","""","""","""",,,,,6,0.67,6,1,9"	
"6,""A Nugroho"",""Rekayasa Perangkat Lunak Berorientasi dengan Metode USDP"",2010,""h-1-210). Penerbit Andi: Yogyakarta"","""","""",""https://scholar.google.com/scholar?cites=10147706004338722734&as_sdt=2005&sciodt=0,5&hl=en"",16,""2019-11-11"",""CITATION"","""","""","""",,,,,6,0.67,6,1,9"	
"1,""BK Darukusumo"",""Aplikasi Perangkat Lunak Manajemen Restoran Pada Rumah Makan 88 Purwokerto"",2010,"""",""eprints.undip.ac.id"",""http://eprints.undip.ac.id/24703/"",""https://scholar.google.com/scholar?cites=12542564936634615894&as_sdt=2005&sciodt=0,5&hl=en"",17,""2019-11-11"","""","""","""","""",,,,,1,0.11,1,1,9"	
"2,""RS Pressman, RPLP Praktisi"",""Edisi 7: Penerbit Andi"",2010,"""",""Yogyakarta"","""",""https://scholar.google.com/scholar?cites=274486201027417161&as_sdt=2005&sciodt=0,5&hl=en"",18,""2019-11-11"",""CITATION"","""","""","""",,,,,2,0.22,1,2,9"	
"8,""RS Pressman, S Roger"",""Pendekatan Praktisi Rekayasa Perangkat Lunak Edisi 7"",2010,""Penerbit Andi. Yogyakarta"","""","""",""https://scholar.google.com/scholar?cites=16820220351099094520&as_sdt=2005&sciodt=0,5&hl=en"",19,""2019-11-11"",""CITATION"","""","""","""",,,,,8,0.89,4,2,9"	
"0,""SH Hari"",""REKAYASA PERANGKAT LUNAK BERBASIS SUMBER TERBUKA UNTUK MEMBANTU PELAKSANAAN AUDIT SISTEM INFORMASI"",2010,""Jurnal CommIT"",""eprints2.binus.ac.id"",""http://eprints2.binus.ac.id/13550/"","""",20,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"3,""B Jatmika"",""RPL 1: Rekayasa Perangkat Lunak SMK Kelas X"",2010,""Sukabumi: Yudhistira"","""","""",""https://scholar.google.com/scholar?cites=9004926128352043623&as_sdt=2005&sciodt=0,5&hl=en"",21,""2019-11-11"",""CITATION"","""","""","""",,,,,3,0.33,3,1,9"	
"0,""C Utomo"",""Rekayasa Perangkat Lunak Sistem Informasi Koperasi Karyawan Stikom"",2010,"""",""digilib.stikom.edu"",""http://digilib.stikom.edu/detil.php?id=1106"","""",22,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"0,""D Rayaguna"",""Rekayasa Perangkat Lunak Sistem Pendukung Keputusan Kelompok Sertifikasi Tenaga Kerja"",2010,"""",""repository.mercubuana.ac.id"",""https://repository.mercubuana.ac.id/22793/"","""",23,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"0,""HS Husni"",""Rekayasa Perangkat Lunak Berbasis Sumber Terbuka Untuk Membantu Pelaksanaan Audit Sistem Informasi"",2010,""CommIT (Communication and Information …"",""journal.binus.ac.id"",""https://journal.binus.ac.id/index.php/commit/article/view/535"","""",24,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
